Titulo,Año de estreno - Año finalización,Generos
FBI: Most Wanted,2020– ,"Action, Crime, Drama"
Halloween Ends,2022,"Horror, Thriller"
¿Sabes quién es?,2022– ,"Crime, Drama, Mystery"
You,2018– ,"Crime, Drama, Romance"
Mad Max: Furia en el camino,2015,"Action, Adventure, Sci-Fi"
The Sinner,2017– ,"Crime, Drama, Mystery"
Dual,2022,"Sci-Fi, Thriller"
Blade Runner,1982,"Action, Drama, Sci-Fi"
Gotham,2014–2019,"Action, Crime, Drama"
Mr. Robot,2015–2019,"Crime, Drama, Thriller"
Ojos bien cerrados,1999,"Drama, Mystery, Thriller"
Raised by Wolves,2020– ,"Drama, Fantasy, Sci-Fi"
El misterio de Soho,2021,"Drama, Horror, Mystery"
Doctor Sueño,2019,"Drama, Fantasy, Horror"
Ex Machina,2014,"Drama, Sci-Fi, Thriller"
El robo perfecto,2018,"Action, Crime, Drama"
Amphibia,2019–2022,"Animation, Action, Adventure"
Rápidos Y Furiosos 9,2021,"Action, Crime, Thriller"
CSI: Crime Scene Investigation,2000–2015,"Crime, Drama, Mystery"
La reina del sur,2016–2021,"Action, Crime, Drama"
Fringe,2008–2013,"Drama, Mystery, Sci-Fi"
42 días en la oscuridad,2022– ,"Crime, Drama, Mystery"
El Último Duelo,2021,"Action, Drama, History"
"Seven, los siete pecados capitales",1995,"Crime, Drama, Mystery"
Manifest,2018– ,"Drama, Mystery, Sci-Fi"
Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama"
Invincible,2021– ,"Animation, Action, Adventure"
Prison Break,2005–2017,"Action, Crime, Drama"
Midhunter,2017–2019,"Crime, Drama, Mystery"
Vampire in the Garden,2022– ,"Animation, Action, Adventure"
Justified: La ley de Raylan,2010–2015,"Action, Crime, Drama"
Tenet,2020,"Action, Adventure, Sci-Fi"
Los juegos del hambre,2012,"Action, Adventure, Sci-Fi"
Snowpiercer,2020– ,"Action, Drama, Sci-Fi"
Now and Then,2022– ,"Crime, Drama, Mystery"
Homeland,2011–2020,"Crime, Drama, Mystery"
Lobo Adolescente,2011–2017,"Action, Drama, Fantasy"
Perdida,2014,"Drama, Mystery, Thriller"
Thar,2022,"Action, Crime, Drama"
Resident Evil,2022– ,"Action, Horror, Sci-Fi"
El legado del diablo,2018,"Drama, Horror, Mystery"
El juego del calamar,2021– ,"Action, Drama, Mystery"
All the Old Knives,2022,"Mystery, Thriller"
Inside No. 9,2014– ,"Comedy, Crime, Drama"
Narcos,2015–2017,"Biography, Crime, Drama"
Pretty Little Liars (Lindas Mentirosas),2010–2017,"Drama, Mystery, Romance"
Why Didn't They Ask Evans?,2022,"Mystery, Thriller"
Taboo,2017– ,"Drama, Mystery, Thriller"
Sin lugar para los débiles,2007,"Crime, Drama, Thriller"
Poirot,1989–2013,"Crime, Drama, Mystery"
The Punisher,2017–2019,"Action, Crime, Drama"
24,2001–2010,"Action, Crime, Drama"
La Casa Oscura,2020,"Horror, Mystery, Thriller"
Reminiscencia,2021,"Mystery, Romance, Sci-Fi"
Runway 34,2022,"Drama, Thriller"
Line of Duty,2012–2021,"Crime, Drama, Mystery"
El hombre invisible,I) (2020,"Drama, Horror, Mystery"
Luz Negra,2022,"Action, Thriller"
Fast X,2023,"Action, Crime, Mystery"
Estación Once,2021–2022,"Adventure, Drama, Fantasy"
Pálpito,2022– ,"Drama, Thriller"
Un Lugar En Silencio Parte II,2020,"Drama, Horror, Sci-Fi"
G.I. Joe: Snake Eyes,2021,"Action, Adventure, Crime"
Columbo,1971–2003,"Crime, Drama, Mystery"
Orphan Black,2013–2017,"Drama, Sci-Fi, Thriller"
Los federales,1998,"Action, Crime, Thriller"
Intriga,2013,"Crime, Drama, Mystery"
Criaturas salvajes,1998,"Crime, Drama, Mystery"
Titane,2021,"Drama, Horror, Sci-Fi"
How to Get Away with Murder,2014–2020,"Crime, Drama, Mystery"
Outer Banks,2020– ,"Action, Crime, Drama"
El perfecto asesino,1994,"Action, Crime, Drama"
FBI: International,2021– ,"Action, Adventure, Crime"
Un pequeño favor,2018,"Comedy, Crime, Mystery"
Dhaakad,2022,"Action, Thriller"
Private Property,2022,"Drama, Thriller"
El silencio de los inocentes,1991,"Crime, Drama, Thriller"
El buen mentiroso,2019,"Crime, Drama, Mystery"
Aniquilación,I) (2018,"Adventure, Drama, Horror"
Batman Unburied,2021 Podcast Series,"Short, Adventure, Crime"
Watcher,2022,"Drama, Horror, Thriller"
Banshee,2013–2016,"Action, Crime, Drama"
Agente Fortune: El Gran Engaño,2022,"Action, Comedy, Thriller"
Expend4bles,,"Action, Adventure, Thriller"
Vigilados,2011–2016,"Action, Crime, Drama"
Red Notice,2021,"Action, Comedy, Thriller"
¡Huye!,I) (2017,"Horror, Mystery, Thriller"
The Leftovers,2014–2017,"Drama, Fantasy, Mystery"
John Wick: Chapter 4,2023,"Action, Crime, Thriller"
Irreversible,2002,"Crime, Drama, Mystery"
Infinite,2021,"Action, Sci-Fi, Thriller"
Hermosa venganza,2020,"Crime, Drama, Mystery"
Rápida y mortal,1995,"Action, Romance, Thriller"
007: Casino Royale,2006,"Action, Adventure, Thriller"
Dunkerque,2017,"Action, Drama, History"
Halloween Kills: La Noche Aún No Termina,2021,"Horror, Thriller"
El código enigma,2014,"Biography, Drama, Thriller"
The Old Man,2022– ,"Action, Drama, Thriller"
El gran truco,2006,"Drama, Mystery, Thriller"
Avenida Cloverfield 10,2016,"Action, Drama, Horror"
Muerte Misteriosa,2017,"Crime, Drama, Mystery"
Idiocracy,2006,"Adventure, Comedy, Sci-Fi"
El precio del mañana,2011,"Action, Sci-Fi, Thriller"
La maldición de Hill House,2018,"Drama, Horror, Mystery"
El diablo a todas horas,2020,"Crime, Drama, Thriller"
Otro día para matar,2014,"Action, Crime, Thriller"
Ven y mira,1985,"Drama, Thriller, War"
Beast,II) (2022,"Action, Comedy, Crime"
Picos gemelos,1990–1991,"Crime, Drama, Mystery"
Jujutsu Kaisen,2020– ,"Animation, Action, Adventure"
Nine Perfect Strangers,2021–2022,"Drama, Mystery, Thriller"
Godzilla vs. Kong,2021,"Action, Sci-Fi, Thriller"
Uncut Gems,2019,"Crime, Drama, Thriller"
Evil Dead Rise,2022,"Fantasy, Horror, Thriller"
Elige o muere,2022,"Drama, Horror, Thriller"
The Terror,2018–2019,"Adventure, Drama, History"
Hannibal,2013–2015,"Crime, Drama, Horror"
La isla siniestra,2010,"Mystery, Thriller"
Mayor of Kingstown,2021– ,"Crime, Drama, Thriller"
Logan: Wolverine,2017,"Action, Drama, Sci-Fi"
Most Dangerous Game,2020– ,"Short, Action, Thriller"
The Handmaiden,2016,"Drama, Romance, Thriller"
13 Reasons Why,2017–2020,"Drama, Mystery, Thriller"
6 Underground,2019,"Action, Thriller"
"Alien 2, el regreso",1986,"Action, Adventure, Sci-Fi"
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy"
Los voyeristas,2021,"Drama, Mystery, Thriller"
Battle Angel: la última guerrera,2019,"Action, Adventure, Sci-Fi"
Agentes 355,2022,"Action, Thriller"
Sweeney Todd: El barbero demoníaco de la calle Fleet,2007,"Drama, Horror, Musical"
Oldboy: Días de venganza,2013,"Action, Drama, Mystery"
Infierno al volante,2011,"Action, Fantasy, Thriller"
Tierra de nadie: Sicario,2015,"Action, Crime, Drama"
Baby: el aprendiz del crimen,2017,"Action, Crime, Drama"
Legion,2017–2019,"Action, Drama, Sci-Fi"
Kingsman: El servicio secreto,2014,"Action, Adventure, Comedy"
Ridley Road,2021– ,"Drama, Thriller"
Servant,2019– ,"Drama, Horror, Mystery"
The Americans,2013–2018,"Crime, Drama, Mystery"
Tiempo de matar,1996,"Crime, Drama, Thriller"
La gran estafa,2001,"Crime, Thriller"
Knives Out 2,2022,"Crime, Thriller"
Megalodón,2018,"Action, Horror, Sci-Fi"
Pig,I) (2021,"Drama, Mystery, Thriller"
Tiburón,1975,"Adventure, Thriller"
Gemelo Siniestro,2022,"Drama, Horror, Mystery"
"Remo Williams, sin armas pero mortífero",1985,"Action, Adventure, Comedy"
The Nightingale,I) (2018,"Adventure, Drama, Thriller"
Maligno,I) (2021,"Crime, Horror, Mystery"
Donnie Darko,2001,"Drama, Mystery, Sci-Fi"
Burn Notice,2007–2013,"Action, Crime, Drama"
Los guerreros,1979,"Action, Crime, Thriller"
"Sueños, misterios y secretos",2001,"Drama, Mystery, Thriller"
Tin Star,2017–2020,"Crime, Drama, Thriller"
Oldboy: Cinco días para vengarse,2003,"Action, Drama, Mystery"
El Camino: Una película de Breaking Bad,2019,"Action, Crime, Drama"
El asesino anda suelto,1956,"Crime, Drama, Film-Noir"
El cisne negro,2010,"Drama, Thriller"
Sospechosos comunes,1995,"Crime, Drama, Mystery"
El archivo Ipcress,2022,"Drama, Thriller"
Terciopelo azul,1986,"Crime, Drama, Mystery"
Ecos en la oscuridad,2006,"Horror, Mystery, Thriller"
Covert Affairs,2010–2014,"Action, Crime, Drama"
Estamos muertos,2022– ,"Action, Drama, Fantasy"
Blonde,2022,"Biography, Drama, Mystery"
The Tomorrow War,2021,"Action, Adventure, Drama"
The Outlaws,2021– ,"Comedy, Crime, Drama"
Misión: Imposible - Repercusión,2018,"Action, Adventure, Thriller"
Miedo,1996,"Drama, Thriller"
The Last of Us,2023– ,"Action, Adventure, Drama"
Star Trek sin límites,2016,"Action, Adventure, Sci-Fi"
Last Seen Alive,2022,"Action, Mystery, Thriller"
Los 8 más odiados,2015,"Crime, Drama, Mystery"
Veronica Mars,2004–2019,"Crime, Drama, Mystery"
The Rising,2022– ,"Crime, Thriller"
Ni una palabra,2022,"Crime, Drama, Mystery"
Invasión,1997,"Action, Adventure, Sci-Fi"
La Fuga,1993,"Crime, Drama, Romance"
La dimensión desconocida,1959–1964,"Drama, Fantasy, Horror"
La chica del dragón tatuado,2011,"Crime, Drama, Mystery"
Locke & Key,2020–2022,"Drama, Fantasy, Horror"
Amnesia,2000,"Mystery, Thriller"
Secret Invasion,2022– ,"Action, Adventure, Drama"
El hombre en el castillo,2015–2019,"Drama, Sci-Fi, Thriller"
Jack Reacher: Bajo la mira,2012,"Action, Mystery, Thriller"
The Batman: Deleted Arkham Scene,2022 Video,"Short, Crime, Drama"
Mortal Kombat,2021,"Action, Adventure, Fantasy"
Fragmentado,IX) (2016,"Horror, Thriller"
Scandal,2012–2018,"Drama, Thriller"
Viernes 13,1980,"Horror, Mystery, Thriller"
La aventura del Poseidón,1972,"Action, Adventure, Drama"
Primicia mortal,2014,"Crime, Drama, Thriller"
Blindspot,2015–2020,"Action, Crime, Drama"
The Fall,I) (2013–2016,"Crime, Drama, Thriller"
Una película serbia,2010,"Horror, Mystery, Thriller"
The Killing,2011–2014,"Crime, Drama, Mystery"
Jessica Jones,2015–2019,"Action, Crime, Drama"
La Purga Por Siempre,2021,"Action, Horror, Thriller"
La Roca,1996,"Action, Adventure, Thriller"
Las 7 vidas de Léa,2022– ,"Crime, Drama, Fantasy"
El abogado del Diablo,1997,"Drama, Mystery, Thriller"
Devils,2020– ,"Drama, Thriller"
El sexto sentido,1999,"Drama, Mystery, Thriller"
Jeepers Creepers: Reborn,2022,"Horror, Mystery, Thriller"
Animales nocturnos,2016,"Drama, Thriller"
The Tourist,2022,"Drama, Mystery, Thriller"
"Robocop, el defensor del futuro",1987,"Action, Crime, Sci-Fi"
Lux Æterna,2019,"Drama, Thriller"
Sense8,2015–2018,"Drama, Mystery, Sci-Fi"
Dos tipos peligrosos,2016,"Action, Comedy, Crime"
La noche más oscura,2012,"Drama, History, Thriller"
Kill Bill Vol. 1,2003,"Action, Crime, Drama"
Culpable,2021,"Crime, Drama, Thriller"
No Respires 2,2021,"Action, Crime, Thriller"
007: Operación Skyfall,2012,"Action, Adventure, Thriller"
Angel,1999–2004,"Action, Drama, Fantasy"
Cuestión de honor,1992,"Drama, Thriller"
La masacre de Texas,2022,"Crime, Horror, Thriller"
La mula,2018,"Crime, Drama, Thriller"
Evil,2019– ,"Crime, Drama, Horror"
Untitled Scream Sequel,2023,"Horror, Mystery, Thriller"
JoJo's Bizarre Adventure,2012– ,"Animation, Action, Adventure"
Hot Fuzz: Super policías,2007,"Action, Comedy, Mystery"
La mujer de la casa de enfrente de la chica en la ventana,2022,"Comedy, Crime, Drama"
Black Site,I) (2022,"Action, Thriller"
Fin de semana en Croacia,2022,"Crime, Drama, Mystery"
El conjuro,2013,"Horror, Mystery, Thriller"
Death Note,2006–2007,"Animation, Crime, Drama"
Dark Glasses,2022,"Horror, Mystery, Thriller"
Liar,2017–2020,"Crime, Drama, Thriller"
Carnival Row,2019– ,"Crime, Drama, Fantasy"
Boda sangrienta,I) (2019,"Action, Comedy, Horror"
Perros de reserva,1992,"Crime, Drama, Thriller"
Búsqueda implacable,I) (2008,"Action, Crime, Thriller"
Emergency,2022,"Comedy, Drama, Thriller"
Room,I) (2015,"Drama, Thriller"
Bajos instintos,1992,"Drama, Mystery, Thriller"
Boiling Point,I) (2021,"Drama, Thriller"
Apocalypto,2006,"Action, Adventure, Drama"
El fugitivo,1993,"Action, Crime, Drama"
Burbujas,2022,"Animation, Action, Adventure"
Sin Salida,I) (2022,"Drama, Mystery, Thriller"
Ley y orden: Acción criminal,2001–2011,"Crime, Drama, Mystery"
Exterminio,2002,"Drama, Horror, Sci-Fi"
Rápido y furioso,2001,"Action, Crime, Thriller"
A besúgó,2022– ,"Drama, Thriller"
Los ilusionistas: Nada es lo que parece,I) (2013,"Crime, Mystery, Thriller"
Quédate cerca,2021,"Crime, Drama, Mystery"
Pasajeros,I) (2016,"Drama, Romance, Sci-Fi"
Infidelidad,2002,"Drama, Romance, Thriller"
Está detrás de ti,2014,"Horror, Mystery, Thriller"
El justiciero,2014,"Action, Crime, Thriller"
Cincuenta sombras liberadas,2018,"Drama, Romance, Thriller"
X-Men: Días del futuro pasado,2014,"Action, Adventure, Sci-Fi"
Maze Runner - Correr o Morir,2014,"Action, Mystery, Sci-Fi"
El asedio de Silverton,2022,"Action, Crime, Drama"
El sacrificio del ciervo sagrado,2017,"Drama, Horror, Mystery"
007: Spectre,I) (2015,"Action, Adventure, Thriller"
Caso abierto,2003–2010,"Crime, Drama, Mystery"
Sleeping Beauty,2011,"Drama, Romance, Thriller"
CSI: Miami,2002–2012,"Action, Crime, Drama"
Heroes,II) (2006–2010,"Drama, Fantasy, Sci-Fi"
John Wick 3: Parabellum,2019,"Action, Crime, Thriller"
El ejército de los muertos,2021,"Action, Crime, Horror"
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
Armageddon,1998,"Action, Adventure, Sci-Fi"
Impacto profundo,1998,"Action, Drama, Sci-Fi"
Los Ángeles al desnudo,1997,"Crime, Drama, Mystery"
El escudo,2002–2008,"Crime, Drama, Thriller"
Psicosis,1960,"Horror, Mystery, Thriller"
El Protector,2021,"Action, Adventure, Drama"
Designated Survivor,2016–2019,"Action, Drama, Mystery"
Suspiria: el maligno,I) (2018,"Drama, Fantasy, Horror"
Alias,2001–2006,"Action, Drama, Mystery"
Pequeños Secretos,2021,"Crime, Drama, Mystery"
El primer vengador 2: Segunda guerra,2014,"Action, Adventure, Sci-Fi"
Sharp Objects,2018,"Crime, Drama, Mystery"
The Outsider - El visitante,2020,"Crime, Drama, Fantasy"
El duro,1989,"Action, Thriller"
Oz,1997–2003,"Crime, Drama, Thriller"
Archivo 81,2022,"Drama, Horror, Mystery"
Asesino del futuro,2012,"Action, Drama, Sci-Fi"
Agent Game,2022,"Action, Thriller"
Duro De Cuidar 2,2021,"Action, Comedy, Crime"
La cabaña del terror,2011,"Horror, Mystery, Thriller"
Saldo de cuentas,2011,"Drama, Thriller"
Leyenda: La profesión de la violencia,I) (2015,"Biography, Crime, Drama"
Corrective Measures,2022,"Action, Sci-Fi, Thriller"
"La vigilante del futuro, Ghost in the Shell",2017,"Action, Crime, Drama"
Alien: Covenant,2017,"Horror, Sci-Fi, Thriller"
Al Filo Del Peligro,1997,"Drama, Mystery, Thriller"
El ejército de los ladrones,2021,"Action, Comedy, Crime"
La ciudad del pecado,2005,"Crime, Thriller"
Good Time: Viviendo al límite,2017,"Crime, Drama, Thriller"
Black Clover,2017–2021,"Animation, Action, Adventure"
Ironbark,2020,"Drama, History, Thriller"
K.G.F: Chapter 1,2018,"Action, Crime, Drama"
Beck,1997– ,"Crime, Mystery, Thriller"
Chucky,2021– ,"Horror, Thriller"
Revenge,2011–2015,"Drama, Mystery, Thriller"
Machete Kills,2013,"Action, Crime, Thriller"
Candyman,1992,"Horror, Thriller"
Camino a la perdición,2002,"Crime, Drama, Thriller"
Andor,2022– ,"Action, Adventure, Drama"
New Tricks,2003–2015,"Comedy, Crime, Drama"
No hables con extraños,I) (2020,"Crime, Drama, Mystery"
Argo,2012,"Biography, Drama, Thriller"
Mentiras verdaderas,1994,"Action, Comedy, Thriller"
Espiral: El Juego Del Miedo Continúa,2021,"Crime, Drama, Horror"
Zodiaco,2007,"Crime, Drama, Mystery"
In the Fire,,Thriller
The End of the F***ing World,2017–2019,"Adventure, Comedy, Crime"
Malos momentos en el Hotel Royale,2018,"Crime, Drama, Mystery"
"Fargo, secuestro voluntario",1996,"Crime, Thriller"
Spring Breakers: Viviendo al límite,2012,"Crime, Drama, Thriller"
Nosotros,II) (2019,"Horror, Mystery, Thriller"
La raiz del miedo,1996,"Crime, Drama, Mystery"
Criaturas celestiales,1994,"Biography, Crime, Drama"
Los Nevers,2021– ,"Action, Drama, Fantasy"
Enemigo de todos,II) (2016,"Action, Crime, Drama"
Bloodline,2015–2017,"Drama, Thriller"
La última puerta,1999,"Mystery, Thriller"
Ocean's 8: las estafadoras,2018,"Action, Comedy, Crime"
The Deep House,2021,"Drama, Horror, Mystery"
Gold,I) (2022,"Action, Thriller"
El castigador,2004,"Action, Crime, Drama"
V de Venganza,2005,"Action, Drama, Sci-Fi"
El precio de la codicia,2011,"Drama, Thriller"
Los hijos de la calle,1996,"Crime, Drama, Thriller"
El Protegido,2021,"Action, Thriller"
Battleship,2012,"Action, Adventure, Sci-Fi"
The Cleaning Lady,2022– ,"Crime, Drama, Thriller"
Stillwater: Cuestión de sangre,2021,"Crime, Drama, Thriller"
La ventana secreta,2004,"Drama, Mystery, Thriller"
El vengador fantasma,2007,"Action, Fantasy, Thriller"
Tenemos que hablar de Kevin,2011,"Drama, Mystery, Thriller"
Mad Max,1979,"Action, Adventure, Sci-Fi"
El hoyo,2019,"Horror, Sci-Fi, Thriller"
Scorpion,2014–2018,"Action, Crime, Drama"
Entre hermanos,I) (2009,"Drama, Thriller, War"
La langosta,2015,"Comedy, Drama, Romance"
Atracción peligrosa,2010,"Crime, Drama, Thriller"
Duro de matar,1988,"Action, Thriller"
Amenaza en lo profundo,2020,"Action, Horror, Sci-Fi"
Guardaespaldas,2018,"Crime, Drama, Thriller"
Bodies Bodies Bodies,2022,"Comedy, Horror, Thriller"
En Brujas,2008,"Comedy, Crime, Drama"
La sospecha,2022– ,"Crime, Drama, Thriller"
Gunpowder Milkshake,2021,Thriller
Amarga pesadilla,1972,"Adventure, Drama, Thriller"
The Undoing,2020,"Crime, Drama, Mystery"
Duro De Cuidar,2017,"Action, Comedy, Crime"
Devs,2020,"Drama, Mystery, Sci-Fi"
The Last Victim,2021,"Action, Crime, Thriller"
NYPD Blue,1993–2005,"Crime, Drama, Mystery"
Kingsman: El Círculo Dorado,2017,"Action, Adventure, Comedy"
Twin Peaks,2017,"Crime, Drama, Horror"
El Juego de Gerald,2017,"Drama, Horror, Thriller"
Polar,I) (2019,"Action, Crime, Drama"
Punto de quiebra,1991,"Action, Crime, Thriller"
Gattaca: Experimento genético,1997,"Drama, Sci-Fi, Thriller"
Sobre-Natural,2007,"Horror, Sci-Fi, Thriller"
Salinui chueok,2003,"Crime, Drama, Mystery"
Sherlock Holmes 3,,"Action, Adventure, Mystery"
El expreso del miedo,2013,"Action, Sci-Fi, Thriller"
Torn Hearts,2022,"Drama, Horror, Music"
13 Horas: Los soldados secretos de Bengasi,2016,"Action, Drama, History"
Tornado,I) (1996,"Action, Adventure, Thriller"
Los huéspedes,I) (2015,"Horror, Mystery, Thriller"
Ahora son 13,2007,"Crime, Thriller"
Halloween,1978,"Horror, Thriller"
Niños del hombre,2006,"Action, Drama, Sci-Fi"
A prueba de muerte,2007,"Action, Thriller"
El abogado del Lincoln,2022– ,"Crime, Drama, Mystery"
El año de mi graduación,2022,"Comedy, Drama"
El Hombre Del Norte,2022,"Action, Adventure, Drama"
Better Call Saul,2015–2022,"Crime, Drama"
Top Gun: Maverick,2022,"Action, Drama"
She-Hulk: Attorney at Law,2022– ,"Action, Adventure, Comedy"
Candy,2022,"Biography, Crime, Drama"
La escalera,2022,"Biography, Crime, Drama"
Ozark,2017–2022,"Crime, Drama, Thriller"
Stranger Things,2016– ,"Drama, Fantasy, Horror"
This is Us,2016–2022,"Comedy, Drama, Romance"
Prey,I) (2022,"Action, Drama, Horror"
Top Gun: Pasión y gloria,1986,"Action, Drama"
Llamas De Venganza,2022,"Drama, Horror, Sci-Fi"
"Love, Death & Robots",2019– ,"Animation, Short, Action"
Batman,2022,"Action, Crime, Drama"
El arma del engaño,2021,"Drama, War"
Conversations with Friends,2022– ,"Drama, Romance"
The Boys,2019– ,"Action, Crime, Drama"
Bosch: Legacy,2022– ,"Crime, Drama"
La Mujer Del Viajero En El Tiempo,2022– ,"Drama, Fantasy, Romance"
Game of Thrones,2011–2019,"Action, Adventure, Drama"
The Offer,2022,"Biography, Drama"
Breaking Bad,2008–2013,"Crime, Drama, Thriller"
Severance,2022– ,"Drama, Mystery, Sci-Fi"
Por mandato del cielo,2022,"Crime, Drama, Mystery"
Barry,2018– ,"Action, Comedy, Crime"
Men,2022,"Drama, Horror, Sci-Fi"
Viejos,2021,"Drama, Horror, Mystery"
